帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/24,10:52:31,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/04/24,10:52:31,"李秀鳳歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,萬巒/海星自助餐 (CVY5H0000),2025/04/24,10:52:42,海星
Account,林鈺婷,2025/04/24,11:46:03,貼圖已傳送
User,萬巒/海星自助餐 (CVY5H0000),2025/04/28,01:49:13,鹽魚。青花。吳過魚各1箱
Account,自動回應訊息,2025/04/28,01:49:14,貼圖已傳送
Account,自動回應訊息,2025/04/28,01:49:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/海星自助餐 (CVY5H0000),2025/04/28,01:50:41,豬耳朵
Account,自動回應訊息,2025/04/28,01:50:42,貼圖已傳送
Account,自動回應訊息,2025/04/28,01:50:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/04/28,08:41:27,"老闆 您好
我們是豬頭皮不是豬耳朵喔~"
Account,林鈺婷,2025/04/28,10:01:31,老闆娘不好意思~吳郭魚150/200這個規格目前缺貨中，幫您送大一點的方便嗎?
User,萬巒/海星自助餐 (CVY5H0000),2025/06/11,21:55:02,鹽魚1箱青花1箱
Account,林鈺婷,2025/06/12,08:24:28,貼圖已傳送
User,萬巒/海星自助餐 (CVY5H0000),2025/06/19,04:56:58,鹽魚1箱脆皮三節翅2包
Account,自動回應訊息,2025/06/19,04:56:59,貼圖已傳送
Account,自動回應訊息,2025/06/19,04:56:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/海星自助餐 (CVY5H0000),2025/06/23,06:35:29,鹽魚1箱
Account,自動回應訊息,2025/06/23,06:35:29,貼圖已傳送
Account,自動回應訊息,2025/06/23,06:35:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,萬巒/海星自助餐 (CVY5H0000),2025/06/26,03:11:15,鹽魚 1箱吳過魚1箱
Account,自動回應訊息,2025/06/26,03:11:16,貼圖已傳送
Account,自動回應訊息,2025/06/26,03:11:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/26,08:16:43,"老闆娘不好意思~鯖魚200/240-5k的目前缺貨中
幫您送200/240-6k的可以嗎? 一公斤多10元品質比較好"
User,萬巒/海星自助餐 (CVY5H0000),2025/06/26,08:29:33,好
Account,俐均,2025/06/26,08:45:06,貼圖已傳送
User,萬巒/海星自助餐 (CVY5H0000),2025/06/30,04:54:44,鹽魚1箱
Account,自動回應訊息,2025/06/30,04:54:44,貼圖已傳送
Account,自動回應訊息,2025/06/30,04:54:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/30,08:08:47,老闆娘不好意思~我們目前鯖魚5K的還是缺貨，先幫您送6K的過去參考看看
