帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/13,15:39:16,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/13,15:39:16,"三平咖啡歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三平咖啡,2024/11/13,15:39:32,我是三平咖啡
Account,俐均,2024/11/13,15:51:32,老闆您好
User,三平咖啡,2024/11/13,15:52:52,(moon heart eyes)
Account,俐均,2024/11/13,16:06:10,"老闆好
往後可以在這裡下訂,有問題都可以直接跟我們說,謝謝您"
User,三平咖啡,2024/11/14,13:22:28,好
Account,俐均,2024/11/14,13:23:27,貼圖已傳送
User,三平咖啡,2024/11/20,13:44:39,你好，這裡是三平咖啡，明天幫我送一箱大隻的鰻魚
Account,林鈺婷,2024/11/20,13:57:47,貼圖已傳送
User,三平咖啡,2024/12/04,13:11:30,先不用，已經換餐了。接下來應該是1月才會再叫
Account,林鈺婷,2024/12/04,14:03:00,貼圖已傳送
User,三平咖啡,2024/12/23,13:13:17,下星期一幫我送一箱大隻的鰻魚
Account,林鈺婷,2024/12/23,14:01:40,貼圖已傳送
User,三平咖啡,2024/12/30,15:11:36,今天會送鰻魚嗎？
User,三平咖啡,2024/12/30,15:11:56,我們星期 二休喔
Account,林鈺婷,2024/12/30,15:13:14,今天有安排送貨喔~
Account,林鈺婷,2024/12/30,15:13:22,應該晚點司機會到，不好意思
Account,林鈺婷,2025/01/06,12:07:40,"老闆娘不好意思~因為我們蒲燒鰻魚片的庫存不足
如果有需要後續只剩小片(100克以下)
造成困擾不好意思"
