帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/01/24,18:51:15,訂鯖魚1
Account,自動回應訊息,2024/01/24,18:51:16,貼圖已傳送
Account,自動回應訊息,2024/01/24,18:51:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/02/02,14:28:35,訂鯖魚1
Account,林鈺婷,2024/02/02,14:28:59,下星期一幫您送過去喔~
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/02/02,14:29:06,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/02/21,14:30:15,訂鯖魚1
Account,林鈺婷,2024/02/21,14:30:25,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/02/21,15:07:43,不好意思，明天先不用訂，剛才檢查還有鯖魚。謝謝
Account,林鈺婷,2024/02/21,15:07:52,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/02/28,14:12:34,訂鯖魚1
Account,林鈺婷,2024/02/28,14:58:32,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/03/13,13:06:58,訂鯖魚1
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/03/13,13:08:00,星期一送，謝謝
Account,俐均,2024/03/13,14:18:04,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/03/30,21:37:51,"訂鯖魚1
星期一送，謝謝"
Account,自動回應訊息,2024/03/30,21:37:52,貼圖已傳送
Account,自動回應訊息,2024/03/30,21:37:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/04/06,23:16:08,訂鯖魚1
Account,自動回應訊息,2024/04/06,23:16:08,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
Account,林鈺婷,2024/04/11,15:04:11,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚M 每公斤調漲10元 一箱價格為960元(sparkle)
造成不便，尚請海涵見諒"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/04/24,14:02:08,訂鯖魚1
Account,俐均,2024/04/24,14:02:43,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/05/04,19:00:52,訂鯖魚1
Account,自動回應訊息,2024/05/04,19:00:52,貼圖已傳送
Account,自動回應訊息,2024/05/04,19:00:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/05/18,19:10:47,訂鯖魚1
Account,自動回應訊息,2024/05/18,19:10:47,貼圖已傳送
Account,自動回應訊息,2024/05/18,19:10:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/05/29,19:53:52,訂鯖魚1
Account,自動回應訊息,2024/05/29,19:53:53,貼圖已傳送
Account,自動回應訊息,2024/05/29,19:53:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/06/12,18:48:53,訂鯖魚1
Account,自動回應訊息,2024/06/12,18:48:54,貼圖已傳送
Account,自動回應訊息,2024/06/12,18:48:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/06/22,21:57:28,訂鯖魚1
Account,自動回應訊息,2024/06/22,21:57:28,貼圖已傳送
Account,自動回應訊息,2024/06/22,21:57:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/07/10,14:10:11,訂鯖魚1
Account,俐均,2024/07/10,14:10:47,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/08/07,21:32:32,訂鯖魚1
Account,自動回應訊息,2024/08/07,21:32:33,貼圖已傳送
Account,自動回應訊息,2024/08/07,21:32:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/09/14,17:19:57,訂鯖魚1
Account,自動回應訊息,2024/09/14,17:19:58,貼圖已傳送
Account,自動回應訊息,2024/09/14,17:19:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/09/25,13:40:07,訂鯖魚1
Account,林鈺婷,2024/09/25,14:15:29,貼圖已傳送
Account,林鈺婷,2024/10/14,16:55:52,照片已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/10/16,14:01:52,訂鯖魚1
Account,林鈺婷,2024/10/16,14:06:23,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/10/30,00:44:54,訂豬排1
Account,自動回應訊息,2024/10/30,00:44:54,貼圖已傳送
Account,自動回應訊息,2024/10/30,00:44:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/11/13,12:02:17,訂豬排1
Account,林鈺婷,2024/11/13,12:07:48,貼圖已傳送
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/11/16,14:12:55,訂鯖魚1
Account,自動回應訊息,2024/11/16,14:12:55,貼圖已傳送
Account,自動回應訊息,2024/11/16,14:12:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/11/23,22:10:56,訂豬排1
Account,自動回應訊息,2024/11/23,22:10:57,貼圖已傳送
Account,自動回應訊息,2024/11/23,22:10:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/12/17,21:54:38,"訂鯖魚1、豬排1
星期四送
謝謝😌"
Account,自動回應訊息,2024/12/17,21:54:38,貼圖已傳送
Account,自動回應訊息,2024/12/17,21:54:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/一葉蘭咖啡(UUXDZ0000),2024/12/31,13:03:38,訂鯖魚1
